ticker,n_events,excess_1m_vs_smh,excess_1y_vs_smh,excess_3y_vs_smh
ARM,5,0.006511666666666665,0.54271,
NVDA,62,-0.0013512622950819673,0.303720612244898,1.683792714285714
GFS,6,0.1628636,0.2200066,-0.6125746
META,5,0.0113016,0.171916,-0.385103
AVGO,20,0.021521649999999996,0.15868986666666668,0.769444
000660.KS,15,0.03071442857142857,0.10614845454545456,0.4925814
MU,11,0.0865981,0.08732957142857144,-0.3088245
LRCX,8,0.0334275,0.07998014285714285,-0.14862820000000002
005930.KS,5,-0.0488072,0.024154,-0.58037
QCOM,6,0.036580499999999995,0.0016705000000000008,-0.310731
TSM,32,0.0034578064516129037,-0.031060961538461537,-0.0429505
AMD,27,-0.0017674074074074115,-0.046154499999999994,-0.224575625
GOOGL,23,0.008743739130434783,-0.06432505555555555,-0.15549839999999998
AMAT,10,-0.0331347,-0.07994455555555555,-0.16388724999999998
2454.TW,8,0.04156375,-0.10791312500000001,-0.151295625
ASML,6,-0.0197905,-0.1203344,-0.377741
MSFT,9,-0.026767666666666665,-0.176803,-0.529792
8035.T,6,0.001679000000000001,-0.1878671666666667,-0.38589633333333334
MRVL,7,-0.035194,-0.22151000000000004,-0.3975876
INTC,12,-0.01867554545454545,-0.2728474444444444,-0.7375827142857142
0981.HK,6,-0.04727383333333334,-0.31788060000000007,0.111056
AMZN,7,-0.07219316666666666,-0.33635433333333337,-0.253792
